date,description,amount,category
2026-03-01,PAYROLL HARBOR & PINE LTD,3150.00,salary
2026-03-01,KEYSTONE LETTINGS RENT MAR,-1250.00,housing
2026-03-02,TESCO STORES 2291 LEEDS,-54.18,groceries
2026-03-02,NETFLIX.COM 866-579-7172,-15.99,subscriptions
2026-03-03,UBER *TRIP HELP.UBER.COM,-18.40,transport
2026-03-03,PRET A MANGER #0412,-7.85,eating-out
2026-03-04,SHELL OIL 57442 WETHERBY,-62.30,car
2026-03-04,AMZN Mktp UK*2K3L81,-23.99,shopping
2026-03-05,SPOTIFY P2A1B3C4D5,-11.99,subscriptions
2026-03-05,YORKSHIRE WATER DD,-38.00,utilities
2026-03-06,BRITISH GAS DD 00331,-96.50,utilities
2026-03-06,DELIVEROO UK,-24.60,eating-out
2026-03-07,PUREGYM MONTHLY,-24.99,health-fitness
2026-03-07,BOOTS 1123 BRIGGATE,-12.45,health-fitness
2026-03-08,TFL TRAVEL CH,-8.10,transport
2026-03-08,ALDI 45 HEADINGLEY,-31.72,groceries
2026-03-09,TRANSFER TO SAVINGS 4471,-500.00,transfers
2026-03-09,PAYPAL *STEAMGAMES,-19.99,entertainment
2026-03-10,VUE CINEMAS LEEDS,-21.00,entertainment
2026-03-10,HMRC SELF ASSESSMENT,-850.00,taxes
2026-03-11,INTEREST PAID,4.12,other-income
2026-03-11,EASYJET 0HXQ2L,-142.98,travel
2026-03-12,AIRBNB * HMZ4K2,-310.00,travel
2026-03-12,COSTA COFFEE 1880,-3.40,eating-out
2026-03-13,EE LIMITED MOBILE,-22.00,utilities
2026-03-13,FREELANCE INV-0311 BRIGHTLINE,720.00,freelance-income
2026-03-14,DR A MENSAH PRIVATE CLINIC,-65.00,health-fitness
2026-03-14,SAINSBURYS S/MKTS,-47.90,groceries
2026-03-15,ADOBE *CREATIVE CLOUD,-19.97,subscriptions
2026-03-15,IKEA LEEDS,-129.00,shopping
2026-03-16,DVLA VEHICLE TAX,-16.50,car
2026-03-16,REFUND AMZN Mktp UK,23.99,refunds
2026-03-17,COUNCIL TAX LEEDS CC,-142.00,housing
2026-03-17,JUST EAT.CO.UK,-18.20,eating-out
2026-03-18,NATIONAL RAIL ONLINE,-54.60,transport
2026-03-18,CHARITY: OXFAM DD,-10.00,gifts-donations
